day,incidence
4.97401771037693,45.0607137175884
35.4761652261519,59.1622037223607
65.4170422609893,48.2199480354208
90.7129222122063,15.5363486929318
123.131131024975,6.856142955618
152.297841879209,8.9569966594199
183.361259875921,8.10223235590435
212.160241794369,6.8985630203086
242.894639164325,3.08712020785831
276.338618166393,3.62479452781166
305.079537621295,1.89935839652156
334.207540166499,3.65236756986054
368.483747812715,11.6686992947664
396.411792777984,22.6385280237552
428.926772363328,34.8279336125988
458.88700355268,24.0596001908903
491.53746221963,37.466461636354
518.342966223023,18.3487989819184
551.457924598335,15.9297947929371
579.385969563603,6.89962352192586
610.294554324195,4.65348109655866
641.396680629938,4.14656132350602
670.273079166446,3.63858104883609
701.433267935734,3.6534280714778
734.683705392651,22.4518797391166
763.714937165279,23.3352775862983
794.739646852961,22.1326687523198
826.635293493822,28.7565618537568
854.273026141365,37.1175566042738
885.278381674532,15.7410255050639
916.167612280609,13.3209608144652
943,4.46365130706825
975.062304470014,2.5664139137812
1004.13224455167,3.79765629142584
1035.52468317514,5.89957049684502
1067.36226735246,12.0016968025876
1097.4386234689,22.2768969722679
1127.97947929371,16.7262315075031
1158.94612651784,15.0018558778302
1188.71281616204,22.4942998038072
1219.0601304417,15.2044116867278
1250.60740230129,18.6977040139986
1279.77411315552,20.7985577178005
1312.4632801315,14.5532636937271
1339,4.82634286017286
1371.66763879315,6.58147303674639
1402.88589002598,7.11808685508244
1432.61387136115,14.2626862505965
1464.33533061138,19.3212789649504
1496.13420647966,25.0755607402301
1526.90731215865,41.6119624582428
1557.60300121958,37.4526751153296
1589.65348109656,45.4679463386182
1618.83954610531,47.7427223076515
1652.20610848932,47.584707566679
1682.16633967867,36.8163741449706
1706.61063683122,16.4801951322976
1738.69982501723,24.8433108860491
1772.22122063736,26.0766742669283
1799.31703695848,29.5678455909645
1830.36110080068,28.5391590222175
1860.5342276897,19.683970518055
1892.23633278541,24.5686409671775
1922.60300121958,17.4526751153296
1950.87942096612,11.5531046184845
1981.5170475635,6.87205047987699
2010.16119624582,4.27700302242961
2041.32138501511,4.29185004507131
2069.88811707938,1.00111352669812
2101.26120154833,2.92910546688583
2132.44074447214,3.11787475475899
2161.33649716316,2.78381674532055
2192.80635240469,5.58142001166551
2226.65676865157,9.77146190147941
2255.47510472453,8.74171483111513
2287.1191473567,13.1046184845432
2313.4214433427,9.46497693408982
2347.00090142638,11.2201071106633
2375.49021687258,7.23368153136435
2406.36009332414,4.63969457553424
2439.76536401718,4.82952436502467
2466.70634710218,6.9293175672093
2497.92459833501,7.46593138554537
2529.76218251233,13.568057691288
2562.99326581473,32.1925870936953
2593.18574685826,43.5113208547643
2623.62983191049,37.0910440638422
2656.84156105838,35.5416512010181
2683.82125245241,17.9892889336656
2713.22021316082,22.177209820245
2743.95461053078,18.3657670077947
2774.22450819237,10.3801898297895
2802.617052866,5.52415292433321
2833.9127207169,6.75645580359512
2864.9567845591,5.72776923484808
2896.00084840129,4.69908266610106
2924.97401771038,5.06071371758844
2956.59870618803,9.24969510578505
2983.48162680948,10.8277215122753
3017.29333474734,14.6699188716263
3046.65358714672,18.5099952277427
3078.97502518691,8.96017816427171
3108.0836735776,10.5392650723793
3138.85677925659,7.07566679039186
3168.02349011082,9.17652049419377
3199.06755395302,8.14783392544675
3230.28580518585,8.68444774378281
3258.75576647754,4.52409989925235
3294.28999416724,23.8453788642028
3324.36635028368,34.120579033883
3355.10074765364,30.3091362214327
3386.66737366774,33.976350813935
3413.25998197147,32.9455432419535
3444.42017074076,32.9603902645952
3472.42563232409,24.6259080545098
3501.88265549605,9.33559573678352
3532.88801102922,7.95906463757359
3563.77724163529,5.53899994697494
3595.03420117716,6.4234582957739
3625.98149424678,4.52516040086962
3656.98684977994,23.1486293016597
3688.47605917599,26.1201548332361
3720.46847658943,33.6136592608304
3749.09327111724,30.8446895381516
3780.00185587783,48.5985471127844
3813.63937642505,50.8754440850522
3840.54165120102,32.627392756774
3870.81154886261,44.6418155787688
3903.69425738374,40.1357442070099
3931.46746911289,29.7141948141471
3966.01463492232,40.1654382522934
3994.00074235113,31.6570337769765
